antaeus.hpcc.ttu.edu,2016-03-10,
atlas-hub.bu.edu,2016-03-10,
atlas-net2.bu.edu,,2016-03-10
bonner06.rice.edu,2016-03-10,
brux3.hep.brown.edu,,2016-03-10
calclab-ce.math.tamu.edu,2016-03-10,
carter-osg.rcac.purdue.edu,2016-03-10,
ce.grid.iu.edu,,2016-03-10
ce.grid.unesp.br,,2016-03-10
ce01.brazos.tamu.edu,2016-03-10,
ce01.cmsaf.mit.edu,2016-03-10,
ce02.cmsaf.mit.edu,2016-03-10,
ce03.cmsaf.mit.edu,2016-03-10,
ce04.cmsaf.mit.edu,2016-03-10,
ce1.accre.vanderbilt.edu,,2016-03-10
ce2.accre.vanderbilt.edu,,2016-03-10
cit-gatekeeper.ultralight.org,2016-03-10,
cit-gatekeeper2.ultralight.org,,2016-03-10
cms-ce1-osg.rcac.purdue.edu,2016-03-10,
cms-ce2-osg.rcac.purdue.edu,2016-03-10,
cms-grid0.hep.uprm.edu,2016-03-10,
cms-sejong.sdfarm.kr,,2016-03-10
cms.rc.ufl.edu,2016-03-10,2016-03-10
cms.tier3.ucdavis.edu,,2016-03-10
cms25.physics.ucsb.edu,2016-03-10,
cmsdev42.fnal.gov,2016-03-10,
cmstest1.rcac.purdue.edu,2016-03-10,
echism.grid.iu.edu,,2016-03-10
fermicloud105.fnal.gov,2016-03-10,
fermicloud121.fnal.gov,2016-03-10,
fnpcosg1.fnal.gov,,2016-03-03
gate02.grid.umich.edu,2016-03-10,
gate03.aglt2.org,2016-03-10,
gate04.aglt2.org,2016-03-10,
gc1-ce.spa.umn.edu,,2016-03-10
gk01.atlas-swt2.org,,2016-03-10
gk04.swt2.uta.edu,,2016-03-10
grid1.oscer.ou.edu,,2016-03-10
gridgk01.racf.bnl.gov,2016-03-10,
gridgk02.racf.bnl.gov,2016-03-10,
gridgk03.racf.bnl.gov,2016-03-10,
gridgk04.racf.bnl.gov,2016-03-10,
gridgk05.racf.bnl.gov,,2016-03-10
gridgk06.racf.bnl.gov,2016-03-10,
gridgk07.racf.bnl.gov,2016-03-10,
gridgk08.racf.bnl.gov,2016-03-10,
gridtest01.racf.bnl.gov,2016-03-10,
gridtest02.racf.bnl.gov,2016-03-10,
hadoop-osg.rcac.purdue.edu,2016-03-10,
hammer-osg.rcac.purdue.edu,2016-03-10,
hansen-osg.rcac.purdue.edu,2016-03-10,
heposg01.colorado.edu,,2016-03-10
itb-ce1.chtc.wisc.edu,2016-03-10,
itbv-ce-condor.mwt2.org,2016-03-10,
itbv-ce-htcondor.mwt2.org,2016-03-10,
itbv-ce-pbs.mwt2.org,,2016-03-10
iut2-gk.mwt2.org,2016-03-10,
kodiak-ce.baylor.edu,,2016-03-10
lutgw1.lunet.edu,2016-03-10,
mwt2-gk.campuscluster.illinois.edu,2016-03-10,
net2.rc.fas.harvard.edu,,2016-03-10
novastore.farm.particle.cz,2016-03-10,
numep-grid1.research.northwestern.edu,2016-03-10,
nys1.cac.cornell.edu,,2016-03-10
opteron03.crc.nd.edu,2016-03-10,
osg-ce.clemson.edu,2016-03-10,
osg-ce.grid.uj.ac.za,,2016-03-10
osg-ce.icecube.wisc.edu,2016-03-10,
osg-ce.sprace.org.br,2016-03-10,
osg-gk.mwt2.org,2016-03-10,
osg-gw-2.t2.ucsd.edu,2016-03-10,
osg-gw-6.t2.ucsd.edu,2016-03-10,
osg-gw-7.t2.ucsd.edu,2016-03-10,
osg-ss-ce.chtc.wisc.edu,,2016-03-10
osg.rc.ufl.edu,2016-03-10,2016-03-10
osgce.hepgrid.uerj.br,,2016-03-10
osgitb1.nhn.ou.edu,2016-03-10,
osgserv01.slac.stanford.edu,,2016-03-10
osgserv02.slac.stanford.edu,,2016-03-02
ouhep0.nhn.ou.edu,,2016-03-10
pdsfgrid.nersc.gov,,2016-03-10
proton.fis.cinvestav.mx,,2016-03-10
red-gw1.unl.edu,2016-03-10,
red-gw2.unl.edu,2016-03-10,
red.unl.edu,2016-03-10,
ruhex-osgce.rutgers.edu,,2016-03-10
smuosg1.hpc.smu.edu,,2016-03-10
stargrid02.rcf.bnl.gov,,2016-03-10
tier2-01.ochep.ou.edu,,2016-03-10
tier3-atlas1.bellarmine.edu,,2016-03-10
top.ucr.edu,2016-03-10,
uct2-gk.mwt2.org,2016-03-10,
umiss001.hep.olemiss.edu,2016-03-10,
uscms1.fltech-grid3.fit.edu,,2016-03-10
vtbv-ce.mwt2.org,2016-03-10,
xeon.hep.caltech.edu,2016-03-10,
